date,real,nominal
1915-01-01,517.84,19.250
1915-02-01,523.02,19.250
1915-03-01,528.30,19.250
1915-04-01,523.02,19.250
1915-05-01,517.84,19.250
1915-06-01,517.84,19.250
1915-07-01,517.84,19.250
1915-08-01,517.84,19.250
1915-09-01,517.84,19.250
1915-10-01,512.76,19.250
1915-11-01,507.78,19.250
1915-12-01,507.78,19.250
1916-01-01,508.65,19.470
1916-02-01,508.65,19.470
1916-03-01,503.81,19.470
1916-04-01,499.06,19.470
1916-05-01,494.38,19.470
1916-06-01,489.81,19.470
1916-07-01,489.81,19.470
1916-08-01,485.31,19.470
1916-09-01,476.57,19.470
1916-10-01,468.14,19.470
1916-11-01,460.00,19.470
1916-12-01,456.03,19.470
1917-01-01,456.54,19.660
1917-02-01,445.12,19.660
1917-03-01,445.12,19.660
1917-04-01,423.93,19.660
1917-05-01,417.30,19.660
1917-06-01,410.89,19.660
1917-07-01,417.30,19.660
1917-08-01,410.89,19.660
1917-09-01,401.61,19.660
1917-10-01,395.68,19.660
1917-11-01,395.68,19.660
1917-12-01,389.90,19.660
1918-01-01,385.03,19.840
1918-02-01,382.30,19.840
1918-03-01,385.03,19.840
1918-04-01,379.62,19.840
1918-05-01,371.76,19.840
1918-06-01,366.70,19.840
1918-07-01,356.98,19.840
1918-08-01,350.04,19.840
1918-09-01,343.33,19.840
1918-10-01,336.90,19.840
1918-11-01,330.69,19.840
1918-12-01,326.69,19.840
1919-01-01,329.81,20.030
1919-02-01,335.92,20.030
1919-03-01,331.84,20.030
1919-04-01,325.87,20.030
1919-05-01,322.02,20.030
1919-06-01,322.02,20.030
1919-07-01,312.77,20.030
1919-08-01,307.46,20.030
1919-09-01,305.74,20.030
1919-10-01,300.67,20.030
1919-11-01,294.16,20.030
1919-12-01,287.93,20.030
1920-01-01,290.43,20.630
1920-02-01,287.44,20.630
1920-03-01,284.53,20.630
1920-04-01,276.11,20.630
1920-05-01,272.09,20.630
1920-06-01,268.19,20.630
1920-07-01,269.47,20.630
1920-08-01,276.11,20.630
1920-09-01,280.26,20.630
1920-10-01,281.66,20.630
1920-11-01,283.08,20.630
1920-12-01,288.92,20.630
1921-01-01,295.87,20.690
1921-02-01,305.51,20.690
1921-03-01,307.18,20.690
1921-04-01,310.58,20.690
1921-05-01,317.59,20.690
1921-06-01,319.39,20.690
1921-07-01,317.59,20.690
1921-08-01,317.59,20.690
1921-09-01,321.21,20.690
1921-10-01,321.21,20.690
1921-11-01,323.07,20.690
1921-12-01,324.94,20.690
1922-01-01,335.04,20.840
1922-02-01,335.04,20.840
1922-03-01,339.05,20.840
1922-04-01,339.05,20.840
1922-05-01,339.05,20.840
1922-06-01,339.05,20.840
1922-07-01,337.02,20.840
1922-08-01,341.09,20.840
1922-09-01,341.09,20.840
1922-10-01,339.05,20.840
1922-11-01,337.02,20.840
1922-12-01,335.04,20.840
1923-01-01,335.57,20.750
1923-02-01,335.57,20.750
1923-03-01,335.57,20.750
1923-04-01,333.60,20.750
1923-05-01,333.60,20.750
1923-06-01,331.63,20.750
1923-07-01,327.77,20.750
1923-08-01,329.70,20.750
1923-09-01,327.77,20.750
1923-10-01,325.88,20.750
1923-11-01,325.88,20.750
1923-12-01,325.88,20.750
1924-01-01,326.35,20.780
1924-02-01,328.24,20.780
1924-03-01,330.17,20.780
1924-04-01,332.11,20.780
1924-05-01,332.11,20.780
1924-06-01,332.11,20.780
1924-07-01,330.17,20.780
1924-08-01,332.11,20.780
1924-09-01,330.17,20.780
1924-10-01,328.24,20.780
1924-11-01,328.24,20.780
1924-12-01,326.35,20.780
1925-01-01,325.88,20.750
1925-02-01,327.77,20.750
1925-03-01,325.88,20.750
1925-04-01,327.77,20.750
1925-05-01,325.88,20.750
1925-06-01,322.14,20.750
1925-07-01,318.51,20.750
